$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,09:14:00,1.316765,77,16.70134,220,219.8508,3045.29
07/01/16,09:15:00,1.367288,77,17.63975,220,219.12,3029.199
07/01/16,09:16:00,1.271111,77,17.15316,220,218.8217,3025.7
07/01/16,09:17:00,1.280912,77,16.51142,220,220.7458,3022.319
07/01/16,09:18:00,1.254879,77,16.2684,220,220.4475,3025.7
07/01/16,09:19:00,1.265252,77,16.74867,220,220.1492,3014.274
07/01/16,09:20:00,1.255932,77,15.50195,220,222.0733,3046.456
07/01/16,09:21:00,1.242364,77,17.01025,220,221.3275,3021.153
07/01/16,09:22:00,1.304157,77,17.31379,220,222.0733,3043.074
07/01/16,09:23:00,1.221514,77,16.84673,220,221.9241,3039.576
07/01/16,09:24:00,1.268634,77,16.38925,220,223.6842,3021.153
07/01/16,09:25:00,1.266617,77,16.26473,220,222.655,3015.323
07/01/16,09:26:00,1.249545,78.08344,16.537,220,222.0733,3034.912
07/01/16,09:27:00,1.290775,78.1645,17.96536,220,223.535,3019.987
07/01/16,09:28:00,1.295211,78.17104,18.39895,220,222.8041,3043.074
07/01/16,09:29:00,1.401134,78.06625,16.59016,220,223.8333,3039.576
07/01/16,09:30:00,1.318591,77.74476,17.04165,220,223.2516,3031.531
07/01/16,09:31:00,1.29405,77.56512,16.90736,220,222.8041,3007.278
07/01/16,09:32:00,1.237332,77.64513,16.86952,220,222.8041,3051.12
07/01/16,09:33:00,1.326505,77.74216,17.09033,220,222.655,3011.942
07/01/16,09:34:00,1.386734,77.71256,17.23135,220,222.2075,3026.866
07/01/16,09:35:00,1.337195,77.49483,16.84368,220,221.3275,3047.622
07/01/16,09:36:00,1.334739,77.28569,16.61741,220,222.0733,3026.866
07/01/16,09:37:00,1.329445,77.10527,17.41203,220,221.3275,3015.323
07/01/16,09:38:00,1.317216,76.98261,16.33583,220,221.3275,3028.033
07/01/16,09:39:00,1.2759,76.76482,16.23719,220,221.1783,3039.576
07/01/16,09:40:00,1.321808,76.61433,16.89606,220,220.7458,3026.866
07/01/16,09:41:00,1.399141,76.79898,17.01658,220,220.1492,3015.323
07/01/16,09:42:00,1.274577,76.62846,16.68459,220,219.4183,3028.033
07/01/16,09:43:00,1.328067,76.72713,17.72785,220,219.7017,3021.153
07/01/16,09:44:00,1.353712,76.59517,16.80202,220,219.5674,3019.987
07/01/16,09:45:00,1.278661,76.3855,16.31801,220,220.2983,3029.199
07/01/16,09:46:00,1.313809,76.72028,17.64801,220,217.7925,3025.7
07/01/16,09:47:00,1.289258,76.91286,17.49285,220,218.3891,3016.489
07/01/16,09:48:00,1.316136,77.14416,17.05575,220,218.0908,3040.742
07/01/16,09:49:00,1.279218,77.09964,17.36581,220,218.2399,3056.833
07/01/16,09:50:00,1.35053,77.13574,16.35511,220,216.465,3019.987
07/01/16,09:51:00,1.26901,77.09236,16.15516,220,217.4942,3038.41
07/01/16,09:52:00,1.262051,77.23529,16.22454,220,216.1667,3019.987
07/01/16,09:53:00,1.324663,77.39134,16.95161,220,216.465,3031.531
07/01/16,09:54:00,1.349223,77.54875,15.67189,220,216.7633,3045.29
07/01/16,09:55:00,1.307571,77.50275,17.04525,220,215.4358,3037.244
07/01/16,09:56:00,1.310697,77.33608,17.97503,220,216.9124,3015.323
07/01/16,09:57:00,1.343033,77.20363,16.65273,220,217.1958,3021.153
07/01/16,09:58:00,1.300709,77.0489,16.41537,220,216.9124,3030.365
07/01/16,09:59:00,1.287475,76.81288,16.53946,220,216.9124,3047.622
07/01/16,10:00:00,1.340179,76.92506,16.11491,220,217.6433,3041.908
07/01/16,10:01:00,1.250659,77.02889,16.0706,220,216.3158,3014.274
07/01/16,10:02:00,1.236876,77.19563,16.7788,220,217.1958,3021.153
07/01/16,10:03:00,1.324938,77.40528,16.17848,220,218.5233,3019.987
07/01/16,10:04:00,1.259159,77.5138,15.69771,220,217.4942,3038.41
07/01/16,10:05:00,1.287268,77.65195,16.31598,220,218.3891,3014.274
07/01/16,10:06:00,1.279707,77.81335,17.1251,220,218.6725,3013.108
07/01/16,10:07:00,1.266812,78.00761,16.96155,220,219.12,3047.622
07/01/16,10:08:00,1.301993,78.02232,17.4898,220,219.5674,3024.534
07/01/16,10:09:00,1.316975,78.00905,16.4111,220,220,3028.033
07/01/16,10:10:00,1.313029,77.93193,16.41729,220,220.8949,3014.274
07/01/16,10:11:00,1.331653,77.76504,17.08516,220,220.8949,3052.286
07/01/16,10:12:00,1.259362,77.72326,17.64307,220,222.0733,3001.564
07/01/16,10:13:00,1.289127,77.83453,17.01005,220,221.3275,3049.954
07/01/16,10:14:00,1.329012,77.88447,17.13808,220,222.0733,3021.153
07/01/16,10:15:00,1.308002,77.7522,17.05271,220,222.0733,3005.062
07/01/16,10:16:00,1.328066,77.77625,16.42268,220,222.655,3055.667
07/01/16,10:17:00,1.259412,77.67757,16.32266,220,222.9533,3028.033
07/01/16,10:18:00,1.332918,77.73896,15.54323,220,222.9533,3039.576
07/01/16,10:19:00,1.263628,77.81772,15.61343,220,223.1025,3009.61
07/01/16,10:20:00,1.186817,77.96053,16.35008,220,222.5058,3031.531
07/01/16,10:21:00,1.302352,78.2159,16.72796,220,223.2516,3019.987
07/01/16,10:22:00,1.255719,78.30392,16.54565,220,221.775,3022.319
07/01/16,10:23:00,1.237226,78.52683,17.04952,220,222.8041,3026.866
07/01/16,10:24:00,1.292497,78.72461,17.0592,220,222.9533,3033.863
07/01/16,10:25:00,1.282781,78.86053,16.87288,220,222.8041,3036.078
07/01/16,10:26:00,1.284828,78.86452,16.96792,220,222.5058,3023.485
07/01/16,10:27:00,1.355301,78.70609,16.74302,220,222.0733,3031.531
07/01/16,10:28:00,1.340647,78.52213,16.48957,220,223.1025,3036.078
07/01/16,10:29:00,1.269787,78.37521,17.07511,220,221.6258,3007.278
07/01/16,10:30:00,1.324104,78.26138,16.97982,220,221.0292,3023.485
07/01/16,10:31:00,1.352221,78.08879,16.65737,220,221.3275,3019.987
07/01/16,10:32:00,1.303921,77.91928,16.07019,220,220.2983,3049.954
07/01/16,10:33:00,1.325773,77.80479,16.53591,220,220.5966,3008.444
07/01/16,10:34:00,1.327436,77.81876,16.07832,220,220.2983,3034.912
07/01/16,10:35:00,1.379618,77.85789,15.80574,220,218.8217,3029.199
07/01/16,10:36:00,1.313316,77.6316,16.19001,220,218.3891,3016.489
07/01/16,10:37:00,1.297459,77.64315,16.32185,220,218.8217,3021.153
07/01/16,10:38:00,1.324205,77.71271,16.36045,220,218.8217,3034.912
07/01/16,10:39:00,1.308061,77.5429,17.08115,220,217.9416,3046.456
07/01/16,10:40:00,1.33333,77.50642,16.29607,220,217.345,3034.912
07/01/16,10:41:00,1.267528,77.36772,15.86857,220,217.345,3019.987
07/01/16,10:42:00,1.373031,77.22617,16.34928,220,217.7925,3037.244
07/01/16,10:43:00,1.298994,76.96439,16.71455,220,216.9124,3021.153
07/01/16,10:44:00,1.2974,76.86037,16.46672,220,217.345,3026.866
07/01/16,10:45:00,1.284966,76.83351,16.74328,220,217.1958,3025.7
07/01/16,10:46:00,1.27682,77.1352,16.91036,220,216.465,3028.033
07/01/16,10:47:00,1.37181,77.33319,15.75445,220,217.0616,3037.244
07/01/16,10:48:00,1.27351,77.19729,16.13781,220,216.9124,3028.033
